Time (hr),Concentration (muM),Rat,Sex,Molecular Weight (g/mol),Weight (mg),Dose Amount (g/kg)
1.51782,10.3,Rat2,Female,565.59,0.285,0.02
1.52295,10.1,Rat2,Female,565.59,0.285,0.02
1.52808,-5.01,Rat2,Female,565.59,0.285,0.02
1.53321,26.5,Rat2,Female,565.59,0.285,0.02
1.53833,17.4,Rat2,Female,565.59,0.285,0.02
1.54346,10.6,Rat2,Female,565.59,0.285,0.02
1.54859,9.25,Rat2,Female,565.59,0.285,0.02
1.55372,14.7,Rat2,Female,565.59,0.285,0.02
1.55884,5.29,Rat2,Female,565.59,0.285,0.02
1.56397,11.3,Rat2,Female,565.59,0.285,0.02
1.5691,6.45,Rat2,Female,565.59,0.285,0.02
1.57423,11.1,Rat2,Female,565.59,0.285,0.02
1.57936,10.9,Rat2,Female,565.59,0.285,0.02
1.58448,25.6,Rat2,Female,565.59,0.285,0.02
1.58961,6.88,Rat2,Female,565.59,0.285,0.02
1.59474,3.97,Rat2,Female,565.59,0.285,0.02
1.59987,11.6,Rat2,Female,565.59,0.285,0.02
1.60499,19.9,Rat2,Female,565.59,0.285,0.02
0,-2.63,Rat3,Female,565.59,0.287,0.02
0.00714167,0.02,Rat3,Female,565.59,0.287,0.02
0.0142833,-2.27,Rat3,Female,565.59,0.287,0.02
0.021425,-3.81,Rat3,Female,565.59,0.287,0.02
0.0285667,16.7,Rat3,Female,565.59,0.287,0.02
0.0357083,28.5,Rat3,Female,565.59,0.287,0.02
0.04285,46.1,Rat3,Female,565.59,0.287,0.02
0.0499917,50.4,Rat3,Female,565.59,0.287,0.02
0.0571333,52.1,Rat3,Female,565.59,0.287,0.02
0.064275,49.2,Rat3,Female,565.59,0.287,0.02
0.0714167,68.4,Rat3,Female,565.59,0.287,0.02
0.0785583,71,Rat3,Female,565.59,0.287,0.02
0.0857,62.2,Rat3,Female,565.59,0.287,0.02
0.0928417,65.1,Rat3,Female,565.59,0.287,0.02
0.0999833,66.7,Rat3,Female,565.59,0.287,0.02
0.107125,55.6,Rat3,Female,565.59,0.287,0.02
0.114267,58.8,Rat3,Female,565.59,0.287,0.02
0.121408,55.7,Rat3,Female,565.59,0.287,0.02
0.12855,62.9,Rat3,Female,565.59,0.287,0.02
0.135692,55.1,Rat3,Female,565.59,0.287,0.02
0.142833,48.7,Rat3,Female,565.59,0.287,0.02
0.149975,55.3,Rat3,Female,565.59,0.287,0.02
0.157117,44.7,Rat3,Female,565.59,0.287,0.02
0.164258,45.1,Rat3,Female,565.59,0.287,0.02
0.1714,49.7,Rat3,Female,565.59,0.287,0.02
0.178542,59.3,Rat3,Female,565.59,0.287,0.02
0.185683,54.6,Rat3,Female,565.59,0.287,0.02
0.192825,43.5,Rat3,Female,565.59,0.287,0.02
0.199967,45.3,Rat3,Female,565.59,0.287,0.02
0.207108,38.9,Rat3,Female,565.59,0.287,0.02
0.21425,40,Rat3,Female,565.59,0.287,0.02
0.221392,48.8,Rat3,Female,565.59,0.287,0.02
0.228533,34,Rat3,Female,565.59,0.287,0.02
0.235675,47.2,Rat3,Female,565.59,0.287,0.02
0.242817,36.8,Rat3,Female,565.59,0.287,0.02
0.249958,42.5,Rat3,Female,565.59,0.287,0.02
0.2571,35.7,Rat3,Female,565.59,0.287,0.02
0.264242,45.6,Rat3,Female,565.59,0.287,0.02
0.271383,39.1,Rat3,Female,565.59,0.287,0.02
0.278525,41.7,Rat3,Female,565.59,0.287,0.02
0.285667,37.1,Rat3,Female,565.59,0.287,0.02
0.292808,28.3,Rat3,Female,565.59,0.287,0.02
0.29995,39.3,Rat3,Female,565.59,0.287,0.02
0.307092,31.4,Rat3,Female,565.59,0.287,0.02
0.314233,34.1,Rat3,Female,565.59,0.287,0.02
0.321375,37.3,Rat3,Female,565.59,0.287,0.02
0.328517,29.6,Rat3,Female,565.59,0.287,0.02
0.335658,29.6,Rat3,Female,565.59,0.287,0.02
0.3428,32.4,Rat3,Female,565.59,0.287,0.02
0.349942,40.1,Rat3,Female,565.59,0.287,0.02
0.357083,36.1,Rat3,Female,565.59,0.287,0.02
0.364225,35.5,Rat3,Female,565.59,0.287,0.02
0.371367,35.4,Rat3,Female,565.59,0.287,0.02
0.378508,27.2,Rat3,Female,565.59,0.287,0.02
0.38565,28.1,Rat3,Female,565.59,0.287,0.02
0.392792,36.9,Rat3,Female,565.59,0.287,0.02
0.399933,27.9,Rat3,Female,565.59,0.287,0.02
0.407075,24.8,Rat3,Female,565.59,0.287,0.02
0.414217,29.7,Rat3,Female,565.59,0.287,0.02
0.421358,42.1,Rat3,Female,565.59,0.287,0.02
0.4285,30.1,Rat3,Female,565.59,0.287,0.02
0.435642,32.6,Rat3,Female,565.59,0.287,0.02
0.442783,33.8,Rat3,Female,565.59,0.287,0.02
0.449925,25.6,Rat3,Female,565.59,0.287,0.02
0.457067,28.4,Rat3,Female,565.59,0.287,0.02
0.464208,28.5,Rat3,Female,565.59,0.287,0.02
0.47135,30.1,Rat3,Female,565.59,0.287,0.02
0.478492,32.7,Rat3,Female,565.59,0.287,0.02
0.485633,39,Rat3,Female,565.59,0.287,0.02
0.492775,34.8,Rat3,Female,565.59,0.287,0.02
0.499917,31.8,Rat3,Female,565.59,0.287,0.02
0.507058,26.8,Rat3,Female,565.59,0.287,0.02
0.5142,21.7,Rat3,Female,565.59,0.287,0.02
0.521342,26.5,Rat3,Female,565.59,0.287,0.02
0.528483,26.5,Rat3,Female,565.59,0.287,0.02
0.535625,26.9,Rat3,Female,565.59,0.287,0.02
0.542767,28.1,Rat3,Female,565.59,0.287,0.02
0.549908,29.2,Rat3,Female,565.59,0.287,0.02
0.55705,23,Rat3,Female,565.59,0.287,0.02
0.564192,32.7,Rat3,Female,565.59,0.287,0.02
0.571333,24,Rat3,Female,565.59,0.287,0.02
0.578475,23.4,Rat3,Female,565.59,0.287,0.02
0.585617,22.1,Rat3,Female,565.59,0.287,0.02
0.592758,24.4,Rat3,Female,565.59,0.287,0.02
0.5999,33,Rat3,Female,565.59,0.287,0.02
0.607042,23.1,Rat3,Female,565.59,0.287,0.02
0.614183,28,Rat3,Female,565.59,0.287,0.02
0.621325,26.5,Rat3,Female,565.59,0.287,0.02
0.628467,26.3,Rat3,Female,565.59,0.287,0.02
0.635608,20.1,Rat3,Female,565.59,0.287,0.02
0.64275,20.1,Rat3,Female,565.59,0.287,0.02
0.649892,21.8,Rat3,Female,565.59,0.287,0.02
0.657033,25.3,Rat3,Female,565.59,0.287,0.02
0.664175,22.9,Rat3,Female,565.59,0.287,0.02
0.671317,24,Rat3,Female,565.59,0.287,0.02
0.678458,19.3,Rat3,Female,565.59,0.287,0.02
0.6856,28.3,Rat3,Female,565.59,0.287,0.02
0.692742,17.7,Rat3,Female,565.59,0.287,0.02
0.699883,27.4,Rat3,Female,565.59,0.287,0.02
0.707025,17.7,Rat3,Female,565.59,0.287,0.02
0.714167,13.3,Rat3,Female,565.59,0.287,0.02
0.721308,19.9,Rat3,Female,565.59,0.287,0.02
0.72845,22.1,Rat3,Female,565.59,0.287,0.02
0.735592,20.8,Rat3,Female,565.59,0.287,0.02
0.742733,22.6,Rat3,Female,565.59,0.287,0.02
0.749875,26.2,Rat3,Female,565.59,0.287,0.02
0.757017,21.9,Rat3,Female,565.59,0.287,0.02
0.764158,12.7,Rat3,Female,565.59,0.287,0.02
0.7713,23.5,Rat3,Female,565.59,0.287,0.02
0.778442,10.1,Rat3,Female,565.59,0.287,0.02
0.785583,28.7,Rat3,Female,565.59,0.287,0.02
0.792725,13.6,Rat3,Female,565.59,0.287,0.02
0.799867,26.8,Rat3,Female,565.59,0.287,0.02
0.807008,14,Rat3,Female,565.59,0.287,0.02
0.81415,20,Rat3,Female,565.59,0.287,0.02
0.821292,20.4,Rat3,Female,565.59,0.287,0.02
0.828433,20.5,Rat3,Female,565.59,0.287,0.02
0.835575,15.5,Rat3,Female,565.59,0.287,0.02
0.842717,15.4,Rat3,Female,565.59,0.287,0.02
0.849858,9.93,Rat3,Female,565.59,0.287,0.02
0.857,14.7,Rat3,Female,565.59,0.287,0.02
0.864142,26.6,Rat3,Female,565.59,0.287,0.02
0.871283,17.4,Rat3,Female,565.59,0.287,0.02
0.878425,16.2,Rat3,Female,565.59,0.287,0.02
0.885567,10.6,Rat3,Female,565.59,0.287,0.02
0.892708,7.83,Rat3,Female,565.59,0.287,0.02
0.89985,12.4,Rat3,Female,565.59,0.287,0.02
0.906992,23.7,Rat3,Female,565.59,0.287,0.02
0.914133,11.6,Rat3,Female,565.59,0.287,0.02
0.921275,19.3,Rat3,Female,565.59,0.287,0.02
0.928417,25.4,Rat3,Female,565.59,0.287,0.02
0.935558,7.07,Rat3,Female,565.59,0.287,0.02
0.9427,21.6,Rat3,Female,565.59,0.287,0.02
0.949842,15.2,Rat3,Female,565.59,0.287,0.02
0.956983,25,Rat3,Female,565.59,0.287,0.02
0.964125,14.7,Rat3,Female,565.59,0.287,0.02
0.971267,17.5,Rat3,Female,565.59,0.287,0.02
0.978408,20.5,Rat3,Female,565.59,0.287,0.02
0.98555,15,Rat3,Female,565.59,0.287,0.02
0.992692,14.4,Rat3,Female,565.59,0.287,0.02
0.999833,19,Rat3,Female,565.59,0.287,0.02
1.00697,17.8,Rat3,Female,565.59,0.287,0.02
1.01412,14.6,Rat3,Female,565.59,0.287,0.02
1.02126,13.3,Rat3,Female,565.59,0.287,0.02
1.0284,12,Rat3,Female,565.59,0.287,0.02
1.03554,12.6,Rat3,Female,565.59,0.287,0.02
1.04268,21.4,Rat3,Female,565.59,0.287,0.02
1.04983,21.5,Rat3,Female,565.59,0.287,0.02
1.05697,7.87,Rat3,Female,565.59,0.287,0.02
1.06411,13.4,Rat3,Female,565.59,0.287,0.02
1.07125,8.57,Rat3,Female,565.59,0.287,0.02
1.07839,18.6,Rat3,Female,565.59,0.287,0.02
1.08553,14.4,Rat3,Female,565.59,0.287,0.02
1.09268,23.3,Rat3,Female,565.59,0.287,0.02
1.09982,10.5,Rat3,Female,565.59,0.287,0.02
1.10696,10,Rat3,Female,565.59,0.287,0.02
1.1141,17.7,Rat3,Female,565.59,0.287,0.02
1.12124,15.8,Rat3,Female,565.59,0.287,0.02
1.12838,14,Rat3,Female,565.59,0.287,0.02
1.13553,9.65,Rat3,Female,565.59,0.287,0.02
1.14267,21.8,Rat3,Female,565.59,0.287,0.02
1.14981,8.83,Rat3,Female,565.59,0.287,0.02
1.15695,13.7,Rat3,Female,565.59,0.287,0.02
1.16409,8.28,Rat3,Female,565.59,0.287,0.02
1.17123,8.72,Rat3,Female,565.59,0.287,0.02
1.17838,20.8,Rat3,Female,565.59,0.287,0.02
1.18552,9.87,Rat3,Female,565.59,0.287,0.02
1.19266,10.8,Rat3,Female,565.59,0.287,0.02
1.1998,16.9,Rat3,Female,565.59,0.287,0.02
1.20694,13.7,Rat3,Female,565.59,0.287,0.02
1.21408,17.8,Rat3,Female,565.59,0.287,0.02
1.22123,14.2,Rat3,Female,565.59,0.287,0.02
1.22837,8.36,Rat3,Female,565.59,0.287,0.02
1.23551,15.6,Rat3,Female,565.59,0.287,0.02
1.24265,12.8,Rat3,Female,565.59,0.287,0.02
1.24979,17.2,Rat3,Female,565.59,0.287,0.02
1.25693,12.5,Rat3,Female,565.59,0.287,0.02
1.26408,14.1,Rat3,Female,565.59,0.287,0.02
1.27122,8.78,Rat3,Female,565.59,0.287,0.02
1.27836,14,Rat3,Female,565.59,0.287,0.02
1.2855,-0.82,Rat3,Female,565.59,0.287,0.02
1.29264,12.8,Rat3,Female,565.59,0.287,0.02
1.29978,12.8,Rat3,Female,565.59,0.287,0.02
1.30693,22.4,Rat3,Female,565.59,0.287,0.02
1.31407,-3.22,Rat3,Female,565.59,0.287,0.02
1.32121,17.7,Rat3,Female,565.59,0.287,0.02
1.32835,13,Rat3,Female,565.59,0.287,0.02
1.33549,18.5,Rat3,Female,565.59,0.287,0.02
1.34263,9.53,Rat3,Female,565.59,0.287,0.02
1.34978,7.36,Rat3,Female,565.59,0.287,0.02
1.35692,7.2,Rat3,Female,565.59,0.287,0.02
1.36406,3.43,Rat3,Female,565.59,0.287,0.02
1.3712,7.93,Rat3,Female,565.59,0.287,0.02
1.37834,17,Rat3,Female,565.59,0.287,0.02
1.38548,16.9,Rat3,Female,565.59,0.287,0.02
1.39263,16.9,Rat3,Female,565.59,0.287,0.02
1.39977,12.1,Rat3,Female,565.59,0.287,0.02
1.40691,13.1,Rat3,Female,565.59,0.287,0.02
1.41405,14.7,Rat3,Female,565.59,0.287,0.02
1.42119,13.1,Rat3,Female,565.59,0.287,0.02
1.42833,18.8,Rat3,Female,565.59,0.287,0.02
1.43548,7.97,Rat3,Female,565.59,0.287,0.02
1.44262,17.6,Rat3,Female,565.59,0.287,0.02
1.44976,6.74,Rat3,Female,565.59,0.287,0.02
1.4569,13.7,Rat3,Female,565.59,0.287,0.02
1.46404,16.1,Rat3,Female,565.59,0.287,0.02
1.47118,11.9,Rat3,Female,565.59,0.287,0.02
1.47833,11.8,Rat3,Female,565.59,0.287,0.02
1.48547,12.4,Rat3,Female,565.59,0.287,0.02
1.49261,18.3,Rat3,Female,565.59,0.287,0.02
1.49975,18.9,Rat3,Female,565.59,0.287,0.02
1.50689,17.3,Rat3,Female,565.59,0.287,0.02
1.51403,11.4,Rat3,Female,565.59,0.287,0.02
1.52118,8.17,Rat3,Female,565.59,0.287,0.02
1.52832,15.4,Rat3,Female,565.59,0.287,0.02
1.53546,9.31,Rat3,Female,565.59,0.287,0.02
1.5426,3.93,Rat3,Female,565.59,0.287,0.02
1.54974,7.81,Rat3,Female,565.59,0.287,0.02
1.55688,6.06,Rat3,Female,565.59,0.287,0.02
1.56402,3.9,Rat3,Female,565.59,0.287,0.02
1.57117,22.3,Rat3,Female,565.59,0.287,0.02
1.57831,15.3,Rat3,Female,565.59,0.287,0.02
1.58545,12.7,Rat3,Female,565.59,0.287,0.02
1.59259,6.31,Rat3,Female,565.59,0.287,0.02
1.59973,16.2,Rat3,Female,565.59,0.287,0.02
1.60688,16.5,Rat3,Female,565.59,0.287,0.02
1.61402,9.48,Rat3,Female,565.59,0.287,0.02
1.62116,13.7,Rat3,Female,565.59,0.287,0.02
1.6283,4.3,Rat3,Female,565.59,0.287,0.02
1.63544,10.5,Rat3,Female,565.59,0.287,0.02
1.64258,-2.5,Rat3,Female,565.59,0.287,0.02
1.64973,9.05,Rat3,Female,565.59,0.287,0.02
1.65687,7.98,Rat3,Female,565.59,0.287,0.02
1.66401,15.2,Rat3,Female,565.59,0.287,0.02
1.67115,8.94,Rat3,Female,565.59,0.287,0.02
1.67829,10.8,Rat3,Female,565.59,0.287,0.02
1.68543,15.3,Rat3,Female,565.59,0.287,0.02
1.69258,12,Rat3,Female,565.59,0.287,0.02
1.69972,13.2,Rat3,Female,565.59,0.287,0.02
1.70686,-0.69,Rat3,Female,565.59,0.287,0.02
1.714,7.26,Rat3,Female,565.59,0.287,0.02
1.72114,17,Rat3,Female,565.59,0.287,0.02
1.72828,14.3,Rat3,Female,565.59,0.287,0.02
1.73543,1.95,Rat3,Female,565.59,0.287,0.02
1.74257,5.31,Rat3,Female,565.59,0.287,0.02
1.74971,2.9,Rat3,Female,565.59,0.287,0.02
1.756851923,12.1,Rat3,Female,565.59,0.287,0.02
1.763993736,9.16,Rat3,Female,565.59,0.287,0.02
1.771135549,13.1,Rat3,Female,565.59,0.287,0.02
1.778277363,14.7,Rat3,Female,565.59,0.287,0.02
1.785419176,5.23,Rat3,Female,565.59,0.287,0.02
1.792560989,1.33,Rat3,Female,565.59,0.287,0.02
1.799702802,9.51,Rat3,Female,565.59,0.287,0.02
1.806844615,9.44,Rat3,Female,565.59,0.287,0.02
1.813986429,5.82,Rat3,Female,565.59,0.287,0.02
1.821128242,18,Rat3,Female,565.59,0.287,0.02
0,2.86,Rat4,Female,565.59,0.288,0.02
0.007575,16.1,Rat4,Female,565.59,0.288,0.02
0.01515,9.95,Rat4,Female,565.59,0.288,0.02
0.022725,-17.6,Rat4,Female,565.59,0.288,0.02
0.0303,-3.65,Rat4,Female,565.59,0.288,0.02
0.037875,1.5,Rat4,Female,565.59,0.288,0.02
0.04545,-5.93,Rat4,Female,565.59,0.288,0.02
0.053025,-6.61,Rat4,Female,565.59,0.288,0.02
0.0606,48.8,Rat4,Female,565.59,0.288,0.02
0.068175,44.2,Rat4,Female,565.59,0.288,0.02
0.07575,81.3,Rat4,Female,565.59,0.288,0.02
0.083325,161,Rat4,Female,565.59,0.288,0.02
0.0909,127,Rat4,Female,565.59,0.288,0.02
0.098475,127,Rat4,Female,565.59,0.288,0.02
0.10605,144,Rat4,Female,565.59,0.288,0.02
0.113625,183,Rat4,Female,565.59,0.288,0.02
0.1212,136,Rat4,Female,565.59,0.288,0.02
0.128775,177,Rat4,Female,565.59,0.288,0.02
0.13635,144,Rat4,Female,565.59,0.288,0.02
0.143925,147,Rat4,Female,565.59,0.288,0.02
0.1515,146,Rat4,Female,565.59,0.288,0.02
0.159075,103,Rat4,Female,565.59,0.288,0.02
0.16665,120,Rat4,Female,565.59,0.288,0.02
0.174225,122,Rat4,Female,565.59,0.288,0.02
0.1818,114,Rat4,Female,565.59,0.288,0.02
0.189375,103,Rat4,Female,565.59,0.288,0.02
0.19695,114,Rat4,Female,565.59,0.288,0.02
0.204525,138,Rat4,Female,565.59,0.288,0.02
0.2121,97,Rat4,Female,565.59,0.288,0.02
0.219675,125,Rat4,Female,565.59,0.288,0.02
0.22725,101,Rat4,Female,565.59,0.288,0.02
0.234825,84.3,Rat4,Female,565.59,0.288,0.02
0.2424,103,Rat4,Female,565.59,0.288,0.02
0.249975,128,Rat4,Female,565.59,0.288,0.02
0.25755,102,Rat4,Female,565.59,0.288,0.02
0.265125,132,Rat4,Female,565.59,0.288,0.02
0.2727,80.2,Rat4,Female,565.59,0.288,0.02
0.280275,142,Rat4,Female,565.59,0.288,0.02
0.28785,82.8,Rat4,Female,565.59,0.288,0.02
0.295425,101,Rat4,Female,565.59,0.288,0.02
0.303,82.3,Rat4,Female,565.59,0.288,0.02
0.310575,86.9,Rat4,Female,565.59,0.288,0.02
0.31815,89.8,Rat4,Female,565.59,0.288,0.02
0.325725,114,Rat4,Female,565.59,0.288,0.02
0.3333,58.2,Rat4,Female,565.59,0.288,0.02
0.340875,77.2,Rat4,Female,565.59,0.288,0.02
0.34845,63.3,Rat4,Female,565.59,0.288,0.02
0.356025,90.1,Rat4,Female,565.59,0.288,0.02
0.3636,87,Rat4,Female,565.59,0.288,0.02
0.371175,87.7,Rat4,Female,565.59,0.288,0.02
0.37875,64.8,Rat4,Female,565.59,0.288,0.02
0.386325,46.4,Rat4,Female,565.59,0.288,0.02
0.3939,84.5,Rat4,Female,565.59,0.288,0.02
0.401475,74.1,Rat4,Female,565.59,0.288,0.02
0.40905,27.7,Rat4,Female,565.59,0.288,0.02
0.416625,53,Rat4,Female,565.59,0.288,0.02
0.4242,68,Rat4,Female,565.59,0.288,0.02
0.431775,49.4,Rat4,Female,565.59,0.288,0.02
0.43935,63.3,Rat4,Female,565.59,0.288,0.02
0.446925,70.6,Rat4,Female,565.59,0.288,0.02
0.4545,64.6,Rat4,Female,565.59,0.288,0.02
0.462075,62.7,Rat4,Female,565.59,0.288,0.02
0.46965,74.3,Rat4,Female,565.59,0.288,0.02
0.477225,59.7,Rat4,Female,565.59,0.288,0.02
0.4848,72.1,Rat4,Female,565.59,0.288,0.02
0.492375,93.3,Rat4,Female,565.59,0.288,0.02
0.49995,58.2,Rat4,Female,565.59,0.288,0.02
0.507525,113,Rat4,Female,565.59,0.288,0.02
0.5151,107,Rat4,Female,565.59,0.288,0.02
0.522675,48.6,Rat4,Female,565.59,0.288,0.02
0.53025,50.1,Rat4,Female,565.59,0.288,0.02
0.537825,121,Rat4,Female,565.59,0.288,0.02
0.5454,38.2,Rat4,Female,565.59,0.288,0.02
0.552975,82.3,Rat4,Female,565.59,0.288,0.02
0.56055,41.2,Rat4,Female,565.59,0.288,0.02
0.568125,120,Rat4,Female,565.59,0.288,0.02
0.5757,56,Rat4,Female,565.59,0.288,0.02
0.583275,123,Rat4,Female,565.59,0.288,0.02
0.59085,110,Rat4,Female,565.59,0.288,0.02
0.598425,66.8,Rat4,Female,565.59,0.288,0.02
0.606,39,Rat4,Female,565.59,0.288,0.02
0.613575,80,Rat4,Female,565.59,0.288,0.02
0.62115,107,Rat4,Female,565.59,0.288,0.02
0.628725,34.3,Rat4,Female,565.59,0.288,0.02
0.6363,64.6,Rat4,Female,565.59,0.288,0.02
0.643875,29,Rat4,Female,565.59,0.288,0.02
0.65145,93,Rat4,Female,565.59,0.288,0.02
0.659025,103,Rat4,Female,565.59,0.288,0.02
0.6666,49.4,Rat4,Female,565.59,0.288,0.02
0.674175,50.4,Rat4,Female,565.59,0.288,0.02
0.68175,29.7,Rat4,Female,565.59,0.288,0.02
0.689325,35.7,Rat4,Female,565.59,0.288,0.02
0.6969,115,Rat4,Female,565.59,0.288,0.02
0.704475,77.4,Rat4,Female,565.59,0.288,0.02
0.71205,34.4,Rat4,Female,565.59,0.288,0.02
0.719625,74.5,Rat4,Female,565.59,0.288,0.02
0.7272,120,Rat4,Female,565.59,0.288,0.02
0.734775,31.3,Rat4,Female,565.59,0.288,0.02
0.74235,69.4,Rat4,Female,565.59,0.288,0.02
0.749925,44.5,Rat4,Female,565.59,0.288,0.02
0.7575,67.5,Rat4,Female,565.59,0.288,0.02
0.765075,43.8,Rat4,Female,565.59,0.288,0.02
0.77265,57.4,Rat4,Female,565.59,0.288,0.02
0.780225,45.9,Rat4,Female,565.59,0.288,0.02
0.7878,44.2,Rat4,Female,565.59,0.288,0.02
0.795375,29.9,Rat4,Female,565.59,0.288,0.02
0.80295,49.5,Rat4,Female,565.59,0.288,0.02
0.810525,39.5,Rat4,Female,565.59,0.288,0.02
0.8181,47.2,Rat4,Female,565.59,0.288,0.02
0.825675,98.3,Rat4,Female,565.59,0.288,0.02
0.83325,51.1,Rat4,Female,565.59,0.288,0.02
0.840825,71,Rat4,Female,565.59,0.288,0.02
0.8484,28.8,Rat4,Female,565.59,0.288,0.02
0.855975,52.4,Rat4,Female,565.59,0.288,0.02
0.86355,85.3,Rat4,Female,565.59,0.288,0.02
0.871125,21,Rat4,Female,565.59,0.288,0.02
0.8787,39.6,Rat4,Female,565.59,0.288,0.02
0.886275,14.7,Rat4,Female,565.59,0.288,0.02
0.89385,23.7,Rat4,Female,565.59,0.288,0.02
0.901425,32.3,Rat4,Female,565.59,0.288,0.02
0.909,28,Rat4,Female,565.59,0.288,0.02
0.916575,48.4,Rat4,Female,565.59,0.288,0.02
0.92415,68.2,Rat4,Female,565.59,0.288,0.02
0.931725,12.9,Rat4,Female,565.59,0.288,0.02
0.9393,40.9,Rat4,Female,565.59,0.288,0.02
0.946875,74.4,Rat4,Female,565.59,0.288,0.02
0.95445,45.6,Rat4,Female,565.59,0.288,0.02
0.962025,22.9,Rat4,Female,565.59,0.288,0.02
0.9696,20.3,Rat4,Female,565.59,0.288,0.02
0.977175,5.99,Rat4,Female,565.59,0.288,0.02
0.98475,20.8,Rat4,Female,565.59,0.288,0.02
0.992325,29,Rat4,Female,565.59,0.288,0.02
0.9999,34.1,Rat4,Female,565.59,0.288,0.02
1.00747,4.57,Rat4,Female,565.59,0.288,0.02
1.01505,43.3,Rat4,Female,565.59,0.288,0.02
1.02262,41.2,Rat4,Female,565.59,0.288,0.02
1.0302,26.7,Rat4,Female,565.59,0.288,0.02
1.03777,78.3,Rat4,Female,565.59,0.288,0.02
1.04535,29.9,Rat4,Female,565.59,0.288,0.02
1.05292,76.3,Rat4,Female,565.59,0.288,0.02
1.0605,105,Rat4,Female,565.59,0.288,0.02
1.06808,26.9,Rat4,Female,565.59,0.288,0.02
1.07565,102,Rat4,Female,565.59,0.288,0.02
1.08323,13.1,Rat4,Female,565.59,0.288,0.02
1.0908,61.7,Rat4,Female,565.59,0.288,0.02
1.09838,43.7,Rat4,Female,565.59,0.288,0.02
1.10595,29.9,Rat4,Female,565.59,0.288,0.02
1.11353,76.3,Rat4,Female,565.59,0.288,0.02
1.1211,9.13,Rat4,Female,565.59,0.288,0.02
1.12868,28.8,Rat4,Female,565.59,0.288,0.02
1.13625,33.6,Rat4,Female,565.59,0.288,0.02
1.14382,18,Rat4,Female,565.59,0.288,0.02
1.1514,47.5,Rat4,Female,565.59,0.288,0.02
1.15897,7.36,Rat4,Female,565.59,0.288,0.02
1.16655,16.6,Rat4,Female,565.59,0.288,0.02
1.17413,27.5,Rat4,Female,565.59,0.288,0.02
1.1817,31.8,Rat4,Female,565.59,0.288,0.02
1.18928,18,Rat4,Female,565.59,0.288,0.02
1.19685,9.04,Rat4,Female,565.59,0.288,0.02
1.20443,89.1,Rat4,Female,565.59,0.288,0.02
1.212,28.5,Rat4,Female,565.59,0.288,0.02
1.21958,18.5,Rat4,Female,565.59,0.288,0.02
1.22715,36,Rat4,Female,565.59,0.288,0.02
1.23473,17.7,Rat4,Female,565.59,0.288,0.02
1.2423,31.2,Rat4,Female,565.59,0.288,0.02
1.24988,5.98,Rat4,Female,565.59,0.288,0.02
1.25745,12.6,Rat4,Female,565.59,0.288,0.02
1.26503,-1.31,Rat4,Female,565.59,0.288,0.02
1.2726,14.2,Rat4,Female,565.59,0.288,0.02
1.28018,87.4,Rat4,Female,565.59,0.288,0.02
1.28775,31.2,Rat4,Female,565.59,0.288,0.02
1.29533,27.2,Rat4,Female,565.59,0.288,0.02
1.3029,7.28,Rat4,Female,565.59,0.288,0.02
1.31048,52.5,Rat4,Female,565.59,0.288,0.02
1.31805,9.41,Rat4,Female,565.59,0.288,0.02
1.32563,86.4,Rat4,Female,565.59,0.288,0.02
1.3332,22.5,Rat4,Female,565.59,0.288,0.02
1.34078,22.5,Rat4,Female,565.59,0.288,0.02
1.34835,16.6,Rat4,Female,565.59,0.288,0.02
1.35593,86.2,Rat4,Female,565.59,0.288,0.02
1.3635,12.8,Rat4,Female,565.59,0.288,0.02
1.37108,15.5,Rat4,Female,565.59,0.288,0.02
1.37865,22.6,Rat4,Female,565.59,0.288,0.02
1.38623,5.74,Rat4,Female,565.59,0.288,0.02
1.3938,26.6,Rat4,Female,565.59,0.288,0.02
1.40138,13.5,Rat4,Female,565.59,0.288,0.02
1.40895,7.8,Rat4,Female,565.59,0.288,0.02
1.41653,2.34,Rat4,Female,565.59,0.288,0.02
1.4241,4.08,Rat4,Female,565.59,0.288,0.02
1.43168,37.1,Rat4,Female,565.59,0.288,0.02
1.43925,92.9,Rat4,Female,565.59,0.288,0.02
1.44683,14.4,Rat4,Female,565.59,0.288,0.02
1.4544,10.4,Rat4,Female,565.59,0.288,0.02
1.46197,12.4,Rat4,Female,565.59,0.288,0.02
1.46955,6.53,Rat4,Female,565.59,0.288,0.02
1.47712,111,Rat4,Female,565.59,0.288,0.02
1.4847,43.4,Rat4,Female,565.59,0.288,0.02
1.49227,62.7,Rat4,Female,565.59,0.288,0.02
1.49985,4.33,Rat4,Female,565.59,0.288,0.02
1.50742,30.6,Rat4,Female,565.59,0.288,0.02
1.515,57,Rat4,Female,565.59,0.288,0.02
1.52257,23.7,Rat4,Female,565.59,0.288,0.02
1.53015,40.4,Rat4,Female,565.59,0.288,0.02
1.53772,19.6,Rat4,Female,565.59,0.288,0.02
1.5453,30,Rat4,Female,565.59,0.288,0.02
1.55288,23.9,Rat4,Female,565.59,0.288,0.02
1.56045,119,Rat4,Female,565.59,0.288,0.02
1.56803,125,Rat4,Female,565.59,0.288,0.02
1.5756,9.28,Rat4,Female,565.59,0.288,0.02
1.58317,3.53,Rat4,Female,565.59,0.288,0.02
1.59075,-0.3,Rat4,Female,565.59,0.288,0.02
